@id,rdf:type,skos:prefLabel,skos:altLabel,skos:definition,skos:note,skos:inScheme,skos:broader,skos:topConceptOf,pav:version,dcterms:source
cpg235:scheme,skos:ConceptScheme,APRA CPG 235 - Managing Data Risk (September 2013),,"Prudential practice guides (PPGs) provide guidance on APRA's view of sound practice in particular areas. PPGs frequently discuss legal requirements from legislation, regulations or APRA's prudential standards, but do not themselves create enforceable requirements.
This PPG aims to assist regulated entities in managing data risk. It is designed to provide guidance to senior management, risk management and technical specialists (both management and operational). The PPG targets areas where APRA continues to identify weaknesses as part of its ongoing supervisory activities. The PPG does not seek to provide an all-encompassing framework, or to replace or endorse existing industry standards and guidelines.
Subject to meeting APRA's prudential requirements, a regulated entity has the flexibility to manage data risk in a manner that is best suited to achieving its business objectives. Not all of the practices outlined in this PPG will be relevant for every regulated entity and some aspects may vary depending upon the size, complexity and risk profile of the entity.",,,,,0.0.2,https://www.apra.gov.au/sites/default/files/CPG-235-Managing-Data-Risk.pdf
cpg235:0001,skos:Concept,Data and data risk,,,,cpg235:scheme,,cpg235:scheme,,
cpg235:0002,skos:Concept,Data quality,,,,cpg235:scheme,cpg235:0001,,,
cpg235:0003,skos:Concept,Data quality dimensions,,"In APRA's view, a useful technique for managing data risk is through the assessment and management of data quality. Data quality can be assessed using a range of dimensions. The relevance of each of these dimensions will vary depending upon the nature of the data.",CPG 235 - Managing Data Risk s 16,cpg235:scheme,cpg235:0002,,,
cpg235:0004,skos:Concept,Accuracy,,The degree to which data is error free and aligns with what it represents.,CPG 235 - Managing Data Risk s 16(a),cpg235:scheme,cpg235:0003,,,
cpg235:0005,skos:Concept,Completeness,,The extent to which data is not missing and is of sufficient breadth and depth for the intended purpose.,CPG 235 - Managing Data Risk s 16(b),cpg235:scheme,cpg235:0003,,,
cpg235:0006,skos:Concept,Consistency,,"The degree to which related data is in alignment with respect to dimensions such as definition, value, range, type and format, as applicable.",CPG 235 - Managing Data Risk s 16(c),cpg235:scheme,cpg235:0003,,,
cpg235:0007,skos:Concept,Timeliness,,Degree to which data is up to-date.,CPG 235 - Managing Data Risk s 16(d),cpg235:scheme,cpg235:0003,,,
cpg235:0008,skos:Concept,Availability,,Accessibility and usability of data when required.,CPG 235 - Managing Data Risk s 16(e),cpg235:scheme,cpg235:0003,,,
cpg235:0009,skos:Concept,Fitness for use,,"The degree to which data is relevant, appropriate for the intended purpose and meets business specifications.",CPG 235 - Managing Data Risk s 16(f),cpg235:scheme,cpg235:0003,,,
cpg235:0010,skos:Concept,Other dimensions,,Depending on the nature and use of specific data.,CPG 235 - Managing Data Risk s 17,cpg235:scheme,cpg235:0002,,,
cpg235:0011,skos:Concept,Confidentiality,,"Restriction of data access to authorised users, software and hardware.",CPG 235 - Managing Data Risk s 17(a),cpg235:scheme,cpg235:0010,,,
cpg235:0012,skos:Concept,Accountability,,The ability to attribute the responsibility for an action.,CPG 235 - Managing Data Risk s 17(b),cpg235:scheme,cpg235:0010,,,
cpg235:0013,skos:Concept,Authenticity,,The condition of being genuine.,CPG 235 - Managing Data Risk s 17(c),cpg235:scheme,cpg235:0010,,,
cpg235:0014,skos:Concept,Non-repudiation,,The concept that an event cannot later be denied.,CPG 235 - Managing Data Risk s 17(d),cpg235:scheme,cpg235:0010,,,
cpg235:0015,skos:Concept,Classification by criticality and sensitivity,,"For the purposes of managing data risk, a regulated entity would typically classify data based on business criticality and sensitivity. The assessment would typically take into account the end-to-end use of the data. A regulated entity could seek to leverage the existing business impact analysis process to achieve this. The entity's data classification method and granularity would normally be determined by the requirements of the business.",CPG 235 - Managing Data Risk s 18,cpg235:scheme,cpg235:0001,,,
cpg235:0016,skos:Concept,Criticality,,,CPG 235 - Managing Data Risk s 18,cpg235:scheme,cpg235:0015,,,
cpg235:0017,skos:Concept,Sensitivity,,,CPG 235 - Managing Data Risk s 18,cpg235:scheme,cpg235:0015,,,
cpg235:0018,skos:Concept,Industry baselines,,,,cpg235:scheme,cpg235:0001,,,
cpg235:0019,skos:Concept,Regular assessment of the completeness of data risk management processes by comparison to peers and established control frameworks and standards,,,CPG 235 - Managing Data Risk s 19,cpg235:scheme,cpg235:0018,,,
cpg235:0100,skos:Concept,A systematic and formalised approach,,,,cpg235:scheme,,cpg235:scheme,,
cpg235:0101,skos:Concept,Overarching framework,,,,cpg235:scheme,cpg235:0100,,,
cpg235:0102,skos:Concept,Formally approved data risk management framework,,"In order to ensure that data risk management is not conducted in an ad hoc and fragmented manner, a regulated entity would typically adopt a systematic and formalised approach that ensures data risk is taken into consideration as part of its change management and business-as-usual processes. This could be encapsulated in a formally approved data risk management framework outlining the entity's approach to managing data risk.",CPG 235 - Managing Data Risk s 20,cpg235:scheme,cpg235:0101,,,
cpg235:0103,skos:Concept,"Hierarchy of policies, standards, guidelines, procedures",,,CPG 235 - Managing Data Risk s 20(a),cpg235:scheme,cpg235:0102,,,
cpg235:0104,skos:Concept,Alignment with other enterprise frameworks,,,CPG 235 - Managing Data Risk s 20(b),cpg235:scheme,cpg235:0102,,,
cpg235:0105,skos:Concept,Expectations of the Board and senior management,,,CPG 235 - Managing Data Risk s 20(c),cpg235:scheme,cpg235:0102,,,
cpg235:0106,skos:Concept,Assignment of designated owner or owners,,,CPG 235 - Managing Data Risk s 20(d),cpg235:scheme,cpg235:0102,,,
cpg235:0107,skos:Concept,Outlines of roles and responsibilities,,,CPG 235 - Managing Data Risk s 20(e),cpg235:scheme,cpg235:0102,,,
cpg235:0108,skos:Concept,Enablement of design and implementation of data controls,,,CPG 235 - Managing Data Risk s 20(f),cpg235:scheme,cpg235:0102,,,
cpg235:0109,skos:Concept,Reviews on a regular basis,,,CPG 235 - Managing Data Risk s 20(g),cpg235:scheme,cpg235:0102,,,
cpg235:0110,skos:Concept,Establishment and ongoing development of the data risk management framework,,,CPG 235 - Managing Data Risk s 21,cpg235:scheme,cpg235:0101,,,
cpg235:0111,skos:Concept,Data risk management strategy and supporting program of work,,"Clearly defined budget, resource requirements, timeframes and milestones.",CPG 235 - Managing Data Risk s 21(a),cpg235:scheme,cpg235:0110,,,
cpg235:0112,skos:Concept,Integral part of change management and business-as-usual processes,,,CPG 235 - Managing Data Risk s 21(b),cpg235:scheme,cpg235:0110,,,
cpg235:0113,skos:Concept,Principles-based approach,,,,cpg235:scheme,cpg235:0100,,,
cpg235:0114,skos:Concept,Principles,,APRA envisages that a regulated entity would adopt a set of high-level principles in order to establish a sound foundation for data risk management.,CPG 235 - Managing Data Risk s 22,cpg235:scheme,cpg235:0113,,,
cpg235:0115,skos:Concept,Access to data is only granted where required to conduct business processes,,,CPG 235 - Managing Data Risk s 22(a),cpg235:scheme,cpg235:0114,,,
cpg235:0116,skos:Concept,"Data validation, correction and cleansing occur as close to the point of capture as possible",,,CPG 235 - Managing Data Risk s 22(b),cpg235:scheme,cpg235:0114,,,
cpg235:0117,skos:Concept,Automation is used as an alternative to manual processes,,,CPG 235 - Managing Data Risk s 22(c),cpg235:scheme,cpg235:0114,,,
cpg235:0118,skos:Concept,Timely detection and reporting of data issues,,,CPG 235 - Managing Data Risk s 22(d),cpg235:scheme,cpg235:0114,,,
cpg235:0119,skos:Concept,Assessment of data quality to ensure it is acceptable for the intended purpose,,,CPG 235 - Managing Data Risk s 22(e),cpg235:scheme,cpg235:0114,,,
cpg235:0120,skos:Concept,Design of the control environment is based on the assumption that staff do not know what the data risk management policies and procedures are,,,CPG 235 - Managing Data Risk s 22(f),cpg235:scheme,cpg235:0114,,,
cpg235:0121,skos:Concept,Roles and responsibilities,,,,cpg235:scheme,cpg235:0100,,,
cpg235:0122,skos:Concept,Allocation of formal roles and responsibilities,,"A key element in effective data risk management is the allocation of formal roles and responsibilities (pertaining to data) to appropriately skilled staff. This would typically articulate the data risk management responsibilities of staff, customers, service providers and other third parties.",CPG 235 - Managing Data Risk s 23,cpg235:scheme,cpg235:0121,,,
cpg235:0123,skos:Concept,Data roles and responsibilities for general staff and data users,,,CPG 235 - Managing Data Risk s 23(a),cpg235:scheme,cpg235:0122,,,
cpg235:0124,skos:Concept,Data-specific roles and responsibilities,,,CPG 235 - Managing Data Risk s 23(b),cpg235:scheme,cpg235:0122,,,
cpg235:0125,skos:Concept,Governance functions and reporting mechanisms,,,CPG 235 - Managing Data Risk s 23(c),cpg235:scheme,cpg235:0122,,,
cpg235:0126,skos:Concept,"Risk management, assurance and compliance roles",,,CPG 235 - Managing Data Risk s 23(d),cpg235:scheme,cpg235:0122,,,
cpg235:0127,skos:Concept,Data risk management framework roles,,,CPG 235 - Managing Data Risk s 23(e),cpg235:scheme,cpg235:0122,,,
cpg235:0128,skos:Concept,Responsibilities for data monitoring and management,,,CPG 235 - Managing Data Risk s 23(f),cpg235:scheme,cpg235:0122,,,
cpg235:0129,skos:Concept,Ongoing compliance,,,,cpg235:scheme,cpg235:0100,,,
cpg235:0130,skos:Concept,Processes that ensure compliance,,"APRA expects that a regulated entity would implement processes that ensure compliance with regulatory and legal requirements and data risk management requirements. This would typically include ongoing checks by the compliance function (or equivalent), supported by reporting mechanisms (e.g. metrics, exceptions) and management reviews.",CPG 235 - Managing Data Risk s 24,cpg235:scheme,cpg235:0129,,,
cpg235:0131,skos:Concept,Exemption policy for handling instances of non-compliance,,"A regulated entity would be expected to implement an exemption policy for handling instances of non-compliance with the data risk management framework (if relevant), including management of the exemption register, authority for granting exemptions, expiry of exemptions and the review of exemptions granted. Where exemptions are granted, APRA envisages that an entity would review and assess the adequacy of compensating controls initially and on an ongoing basis. Compensating controls would normally reduce the residual risk in line with the entity's risk appetite.",CPG 235 - Managing Data Risk s 25,cpg235:scheme,cpg235:0129,,,
cpg235:0132,skos:Concept,Ongoing assessment of effectiveness,,,,cpg235:scheme,cpg235:0100,,,
cpg235:0133,skos:Concept,Assessment of data quality,,"APRA envisages that a regulated entity would regularly assess data quality and evaluate the effectiveness of data risk management, and make any necessary adjustments to ensure identified control gaps are treated in a timely and systematic manner. This could involve establishing a data improvement program that specifies target metrics, timeframes for resolution and associated action plans for closing any gaps identified. Typically, action plans would be prioritised and tracked.",CPG 235 - Managing Data Risk s 26,cpg235:scheme,cpg235:0132,,,
cpg235:0134,skos:Concept,Evaluation of effectiveness of data risk management,,,CPG 235 - Managing Data Risk s 26,cpg235:scheme,cpg235:0132,,,
cpg235:0135,skos:Concept,Adjustments to ensure identified control gaps are treated in a timely and systematic manner,,,CPG 235 - Managing Data Risk s 26,cpg235:scheme,cpg235:0132,,,
cpg235:0136,skos:Concept,Data Architecture,,This can range from system documentation provided by vendors to an enterprise-wide data architecture.,,cpg235:scheme,cpg235:0100,,,
cpg235:0137,skos:Concept,Effectiveness of data risk management,,,CPG 235 - Managing Data Risk s 27,cpg235:scheme,cpg235:0136,,,
cpg235:0138,skos:Concept,Understanding of the nature and characteristics of the data,,,CPG 235 - Managing Data Risk s 27(a),cpg235:scheme,cpg235:0137,,,
cpg235:0139,skos:Concept,Ability to assess the quality of the data,,,CPG 235 - Managing Data Risk s 27(b),cpg235:scheme,cpg235:0137,,,
cpg235:0140,skos:Concept,Understanding of the flow of data and processing undertaken,Data lineage,,CPG 235 - Managing Data Risk s 27(c),cpg235:scheme,cpg235:0137,,,
cpg235:0141,skos:Concept,Understanding of the data risks and associated controls,,,CPG 235 - Managing Data Risk s 27(d),cpg235:scheme,cpg235:0137,,,
cpg235:0142,skos:Concept,Data architecture practices,,"Data risk management could be supported by the use of data architecture practices. These practices assist in understanding how data is captured, processed, retained, published and disposed of. The sophistication of the data architecture would normally be commensurate with data risk.",CPG 235 - Managing Data Risk s 28,cpg235:scheme,cpg235:0136,,,
cpg235:0143,skos:Concept,Data strategy,,,CPG 235 - Managing Data Risk s 28(a),cpg235:scheme,cpg235:0142,,,
cpg235:0144,skos:Concept,Characteristics of the data,Metadata,"This could include definitions, descriptions, sources, usages, update mechanisms, owners, authorised users, criticality, sensitivity and quality requirements. Metadata is often embodied in a data dictionary.",CPG 235 - Managing Data Risk s 28(b),cpg235:scheme,cpg235:0142,,,
cpg235:0145,skos:Concept,Definitions,,,CPG 235 - Managing Data Risk s 28(b),cpg235:scheme,cpg235:0144,,,
